Russian,English
я,I
не,not
что,what
в,in
и,and
ты,you
это,this
на,on
с,from
он,he
мы,we
как,as
вы,you
да,Yes
мне,to me
у,at
нет,no
меня,me
так,So
но,but
а,a
его,his
все,all
она,she
тебя,you
о,about
если,if
за,per
бы,would
тебе,you
они,they
чтобы,that
же,the same
есть,there is
просто,simply
из,of
к,to
для,for
ну,Well
когда,when
хорошо,well
здесь,here
по,by
был,It was
знаю,I know
то,the
только,only
всё,all
было,It was
вас,you
может,can
нас,us
вот,here
от,from
быть,be
кто,Who
будет,will be
почему,why
вам,you
их,them
очень,highly
могу,can
уже,already
спасибо,Thank you
или,or
нам,us
еще,more
там,there
нужно,need to
сейчас,now
где,Where
чем,than
хочу,want
ничего,nothing
этого,it
была,It was
мой,my
ее,her
ладно,okay
знаешь,know
п,P
до,before
этом,this
потому,because
теперь,Now
думаю,I think
больше,more
её,her
со,with
раз,time
ему,him
надо,must
время,time
этот,this
ли,whether
ещё,more
пока,until
даже,even
привет,Hi
сказал,He said
себя,himself
должен,must
тоже,also
хочешь,want
давай,let's
что-то,something
никогда,never
эй,Hey
того,Togo
тогда,then
него,it
ни,or
тут,here
были,It was
конечно,of course
правда,true
об,about
моя,my
пожалуйста,you are welcome
тобой,you
сказать,to tell
сегодня,Today
один,one
лучше,better
можешь,can
сюда,here
мной,me
значит,so
сделать,make
всегда,always
дело,a business
можно,can
ей,to her
должны,should
порядке,order of
без,without
день,day
том,Tom
буду,I will
делать,make
хотел,I wanted
чего,what
эти,these
много,lot
после,after
этим,these
всего,Total
во,in
твой,is yours
ним,it
лет,years
боже,Christ
них,them
сэр,sir
ведь,after all
мистер,Mr
жизнь,a life
потом,then
ней,her
такой,such
который,which the
всех,all
через,across
им,them
возможно,perhaps
немного,Little
такое,this
слишком,too
себе,himself
зачем,what for
должна,must
моей,my
люди,people
знаете,you know
этой,this
думаешь,think
свою,its
точно,exactly
человек,man
твоя,yours
под,under
сказала,He said
назад,ago
из-за,due to
эту,this
можем,can
случилось,It happened
мама,mum
мог,could
вместе,together
отец,father
сделал,did
мои,my
кажется,it seems
друг,friend
куда,where to
никто,nobody
поэтому,so
эта,this
которые,that
два,two
тот,the
сколько,how much
понимаю,I see
снова,again
жизни,life
нравится,like
людей,of people
помочь,help
видел,saw
люблю,love
хочет,wants
место,a place
знать,know
кто-то,someone
прости,sorry
отлично,fine
похоже,seem to be
парень,guy
домой,home
всем,all
деньги,money
иди,go
времени,time
дома,at home
именно,exactly
доктор,doctor
думал,thought
говорил,spoke
делаешь,do
будем,will
прямо,straight
стоит,costs
поговорить,talk
найти,to find
разве,really
слушай,hear
своей,his
лишь,only
ага,aha
можете,can
простите,sorry
хотела,I wanted
сам,himself
что-нибудь,anything
тем,the
будешь,will
прошу,I beg
три,three
деле,actually
хотите,want to
говорить,talk
давайте,let's
совсем,all
знал,I knew
знает,He knows
какой,which
моего,my
скажи,tell
дом,house
дела,affairs
вами,you
свои,their
ж,Well
говорит,is talking
несколько,several
должно,must
про,about
ваш,your
происходит,is
жаль,sorry
туда,there
действительно,really
папа,dad
завтра,tomorrow
оно,it
черт,heck
одна,one
перед,front
наш,our
уверен,sure
отсюда,here
нужна,need
самом,the
тех,those
нужен,need
свой,his
мою,my
кого,whom
верно,right
работу,work
каждый,each
твоей,your
будут,will
хватит,enough
понял,I understood
нее,she
уж,really
имя,name
против,vs
кое-что,something
пор,then
чём,than
раньше,before
говорю,I say
более,more
надеюсь,hope
итак,so
при,at
ваша,your
вообще,at all
пошли,gone
мать,mother
нельзя,must not
наверное,probably
нами,us
твои,yours
могли,could
дай,give
ради,for
всю,all
ребята,guys
ко,to
хотя,although
понимаешь,know
идти,go
этих,these
откуда,from whence
такая,this
ясно,clear
другой,other
извините,excuse me
вижу,I see
видеть,see
над,above
могут,can
равно,equally
мисс,Ms.
скоро,soon
будто,allegedly
зовут,call
виду,mind
наши,our
думала,thought
послушай,Listen
между,between
своего,his
вопрос,question
этому,the
почти,nearly
года,of the year
человека,man
которая,which
подожди,wait
руки,arms
нормально,fine
такие,such
возьми,take
минут,minutes
извини,sorry
вещи,things
могла,could
смотри,look
хоть,though
работа,Job
пару,pair
сын,a son
ваше,your
дня,day
пора,time to
неё,it
жить,live
видишь,see
достаточно,enough
господи,Jesus
быстро,fast
твою,your
весь,all
убить,kill
ночь,night
говоришь,tell
собой,yourself
скажу,I tell
готов,ready
слышал,I heard
какая,what
посмотри,look
первый,first
самое,most
видела,seen
пусть,let
месте,place
нашли,found
сказали,told
плохо,badly
смогу,I can
ваши,your
отца,father
детей,children
знаем,we know
рад,glad
прав,rights
никаких,any
имею,I have
миссис,Mrs.
иногда,sometimes
смерти,of death
своих,own
пойду,go
брат,brother
вроде,like
рядом,nearby
мир,world
произошло,happened
которую,which
сделала,done
говорила,I told
знала,I knew
мое,my
одного,one
таким,this
помощь,help
такого,this
кем,by whom
насчет,about
вчера,yesterday
случае,case
увидеть,see
нашей,our
говорят,they say
правильно,right
убил,killed
одно,one
пойти,go
друга,friend
сама,itself
долго,long
работать,work
дверь,a door
делает,makes
женщина,woman
важно,important
кроме,Besides
будь,whether
собираюсь,I am going
вашей,your
нужны,need
здорово,awesome
номер,number
проблема,problem
проблемы,Problems
денег,money
чёрт,heck
хороший,good
твоего,your
одну,one
дальше,further
вернуться,return
давно,long
последний,last
ночи,night
узнать,discover
уверена,confident
машину,car
права,the rights
пять,five
моих,my
также,also
тому,that
вечером,in the evening
дети,children
опять,again
вообще-то,actually
серьезно,Really
работает,works
своим,his
сначала,at first
две,two
одной,one
моим,my
те,those
жена,wife
думаете,think
помнишь,remember
глаза,eyes
ними,them
чувак,dude
ночью,at night
чувствую,I feel
взять,take
сразу,at once
утром,morning
часть,part
придется,have to
стать,become
идея,idea
дорогая,expensive
прекрасно,perfectly
слова,the words
сделали,done
видели,We have seen
наша,our
сердце,heart
помню,I remember
парня,Man
момент,moment
утро,morning
здравствуйте,Hello
стал,I became
скорее,rather
ох,Oh
большой,large
кто-нибудь,anyone
часов,hours
год,year
друзья,friends
сильно,strong
говори,tell
смысле,sense
которой,which
уйти,escape
которого,whom
капитан,captain
работы,work
любовь,love
дочь,daughter
новый,new
боюсь,I'm afraid
имеет,It has
стой,avast
дней,days
той,that
голову,head
ах,Oh
столько,so many
понятно,understandably
дать,to give
девушка,girl
довольно,pretty
доме,house
вечер,evening
оба,both
пойдем,let's go to
увидимся,I'll see you
шанс,chance
хорошая,good
прежде,before
сделаю,make
какого,of
быстрее,faster
понять,understand
рассказать,tell
вашего,your his
бог,the God
интересно,interesting
затем,then
умер,died
обо,about
никого,no one
парни,guys
самый,most
твое,your
вон,out
пришел,I came
чтоб,to
поверить,to believe
слово,word
будете,will
нашел,found
милая,Pretty
странно,strangely
какие,what kind
ой,Oh
та,that
однажды,one day
сможешь,can
получить,get
обычно,usually
ума,crazy
полагаю,I think
алло,Hello
посмотреть,look
иначе,otherwise
наших,our
тело,body
хотели,like to
свое,his
пришли,came
моё,my
другие,other
выглядит,looks
подумал,thought
лицо,face
приятно,pleasantly
мам,moms
говорите,tell
обратно,back
нашего,our
телефон,telephone
мире,world
честь,honour
господин,Mr.
доброе,good
план,plan
другом,other
час,hour
джон,John
пути,ways
делал,done
типа,type
посмотрим,we'll see
насколько,to what extent
пытался,tried to
правду,the truth
решил,I decided
поздно,late
нем,it
работе,the
любит,loves
хотят,want
кому,whom
сестра,sister
какой-то,some
места,seats
кого-то,someone
скажешь,tell
следующий,following
других,other
получил,received
кстати,by the way
говорили,said
пришла,came
безопасности,security
рада,glad
когда-нибудь,someday
город,city
внимание,Attention
кофе,coffee
которое,which
вся,all
семья,a family
конец,end
позже,later
дал,I give
думать,think
спать,sleep
вернулся,I returned
остаться,stay
некоторые,some
кровь,blood
оружие,weapon
пришлось,I had
хуже,worse
дорогой,expensive
полиция,police
сможем,can
понимаете,know
четыре,four
которых,which
ужасно,terribly
ждать,wait
способ,way of
делаю,I do
готовы,ready
совершенно,completely
смотреть,look
вернусь,I come back
большое,great
единственный,only
вперед,forward
часа,hours
где-то,somewhere
муж,husband
идет,is
таких,such
ребенка,child
машина,car
стороны,sides
смог,smog
сына,son
играть,play
сами,themselves
верю,trust
честно,fair
нашла,found
звучит,sounds
угодно,anything
как-то,somehow
руку,hand
начала,beginning
перевод,transfer
какое,what
взял,I took
станет,will
пытаюсь,I try
внутри,within
знали,knew
новости,news
добрый,kind
подождите,Wait
скажите,tell
ребенок,child
вашу,your
мальчик,boy
осталось,left
делаете,You do
году,year
мере,least
поняла,I understood
отношения,relations
далеко,long away
вокруг,around
хотим,we want
слышала,heard
двух,two
приятель,friend
никому,to nobody
мужчина,the man
неделю,week
вернуть,return
смерть,death
сих,now
ту,the
сможет,will be able
the,the
дайте,give
двое,two
видите,see
долларов,dollars
крови,blood
решение,decision
путь,way
следует,must be
неужели,really
около,near
готова,ready
семьи,families
идем,go
смотрите,look
круто,cool
история,history
вдруг,suddenly
спросить,ask
i,i
твоих,your
второй,second
вина,wine
джек,Jack
женщины,women
нашу,our
заткнись,Shut up
минуту,minute
собираешься,going
твоим,your
шоу,show
прощения,forgiveness
больно,painfully
машины,cars
пап,dads
трудно,difficult
постоянно,constantly
поможет,will help
проблем,issues
например,eg
дерьмо,shit
полиции,the police
начать,to begin
знают,know
лучший,best
добро,good
спасти,to rescue
рождения,birth
оставить,retain
чарли,Charlie
любишь,love
конце,end of the
забыл,I forgot
месяцев,months
часто,often
мило,nicely
комнате,room
нему,it
матери,mother
милый,nice
полностью,fully
школе,school
леди,lady
серьёзно,Really
убили,killed
случай,happening
джо,Joe
убийство,murder
послушайте,look here
посмотрите,look
пошел,I went to
никакого,no
сделаем,will do
говоря,speaking
неплохо,not bad
использовать,use
прошлой,last
иду,I go
узнал,I learned
прекрати,stop
чуть,slightly
держи,hold
невозможно,impossible
господа,gentlemen
слушайте,hear
наше,is our
машине,car
сэм,Sam
свет,shine
образом,manner
иметь,have
другое,other
другого,another
шесть,six
людям,people
погоди,wait a minute
имени,behalf
детка,baby
недели,of the week
меньше,less
легко,easy
крайней,extreme
девочка,girl
придётся,have to
мало,few
ненавижу,hate
you,you
последние,recent
насчёт,about
выглядишь,are looking
сообщение,message
думает,thinks
друзей,friends
обещаю,promise
агент,agent
вместо,instead
последнее,last thing
самого,himself
настолько,so
ответ,answer
детектив,detective
понятия,concepts
родители,parents
показать,show
поехали,go
стало,It was
мэм,ma'am
своими,his
всей,all
очевидно,obviously
помогите,Help
маленький,small
школу,school
пожаловать,grant
твоё,your
либо,or
забрать,pick up
прошло,gone
особенно,special
имеешь,you have
истории,stories
эм,Em
вопросы,questions
большая,greater
минутку,moment
пол,floor
остановить,stop
чему,which
свидания,goodbye
обязательно,necessarily
городе,town
убийца,killer
сделай,Do It
a,a
ваших,your
любви,love
спокойной,calm
б,b
своё,his
мадам,madam
идите,go
выйти,go out
делают,make
немедленно,immediately
делай,do
возможность,opportunity
человеком,man
бывает,it happens
ужин,dinner
моем,my
купить,buy
позвонить,call
наконец,finally
стала,became
любой,any
клянусь,I swear
смешно,funny
абсолютно,absolutely
всему,around
переводчики,translators
забудь,forget
секунду,give me a sec
выбор,selection
тысяч,thousand
потерял,I lost
майкл,Michael
волнуйся,worry
ноги,legs
таком,that
настоящий,present
означает,means
встретиться,meet
известно,it is known
работаю,working
замечательно,wonderful
любом,any
оставь,leave
связи,communication
боль,pain
выпить,drink up
представить,imagine
убийства,of murder
малыш,kid
умерла,dead
воды,water
окей,okay
речь,speech
хорошие,good
поводу,the
перестань,stop doing that
увидел,had seen
повезло,lucky
президент,the president
мужик,muzhik
которым,which
прошлом,the past
дам,ladies
десять,ten
умереть,die
поговорим,talk
отцом,father
искать,search
тихо,quiet
оставил,leave
пистолет,pistol
начал,began
сложно,complicated
города,cities
неделе,week
хотелось,I wanted
принять,to accept
историю,history
босс,boss
держать,Keep
пойдём,let's go to
подумала,thought
фильм,movie
слышишь,hear
рано,early
удачи,good luck
еду,food
словно,like
причина,cause
пришёл,I came
э,e
компании,company
спокойно,quietly
работал,worked
подумать,think
вести,lead
вещь,thing
брата,brother
конца,the end of
получится,succeed
блин,pancake
право,right
ввиду,in view of
бога,god
по-моему,to my mind
подарок,gift
комнату,room
мира,world
успокойся,calm down
позволить,allow
моему,my
идёт,goes
самая,the most
рассказал,I told
курсе,course
намного,much
мистера,Mr.
женщин,women
тяжело,heavy
ух,ooh
предложение,sentence
одним,a
счет,score
улице,street
другим,other
уходи,go away
майк,Mike
среди,among
помоги,help
получилось,happened
месяц,month
проверить,verify
генри,Henry
голос,vote
позвольте,let me
стороне,party
вероятно,probably
случится,will happen
уверены,sure
мужа,husband
питер,Peter
провести,conduct
людьми,people
наконец-то,at last
неважно,never mind
нашёл,found
м,m
доктора,the doctors
месяца,of the month
игра,a game
идём,go
нём,it
джордж,George
познакомиться,become acquainted
возьму,take
слышали,heard
пошла,gone
корабль,ship
чувствуешь,feeling
позволь,allow me
сторону,side
игры,games
согласен,I agree
письмо,letter
вниз,down
молодец,well done
наверняка,for sure
утра,morning
вашим,your
нечего,there is nothing
встречи,meetings
вид,view
никакой,no
связь,link
список,list
такую,this
весело,fun
сидеть,sit
гораздо,much
собирался,I am going
