Vietnamese,English
tôi,I
không,are not
là,was
anh,brother
có,have
ta,It
của,of the
đi,go
đã,is already
đó,there
sẽ,will
chúng,they
gì,what
một,one
được,OK
và,and
cô,Miss
làm,do
phải,right
rồi,already
người,people
này,this
cho,for
em,Kids
đây,here
con,children
sao,star
biết,know
ông,he
nói,to speak
nó,it
thể,can
với,with
cậu,boy
thế,How
lại,again
ra,out
vậy,Thus
để,to
nào,What
ấy,she
cái,the
đang,are
muốn,want
trong,in
mà,but
như,as
nhưng,but
khi,when the
những,the
đến,come
đâu,where
chuyện,matter
chỉ,just
cả,both
về,about
thì,then
họ,surname
giờ,hours
thôi,stop
thấy,see
còn,still
cũng,also
vào,into the
các,the
bị,equipment
nghĩ,think
đấy,there
ai,Who
thật,real
hắn,his
nếu,if
mình,his
việc,job
nữa,again
rất,very
vì,because
cần,necessary
chứ,rather
à,à
điều,thing
sự,the
tới,next
xin,please
thứ,kind
chưa,not
nhà,home
lên,up
đúng,it's correct
từ,from
mẹ,mom
nghe,listen
hơn,than
mọi,all
bạn,friend
tớ,I
nên,Candlestick
chết,died
mày,you
ơn,favor
đầu,head
đừng,do not
tìm,Find
tốt,good
tin,believe
hãy,let's
quá,too
nhiều,much
trước,before
cảm,cold
bà,she
ý,reviews
hay,or
công,the
nhất,Best
tao,I
bố,Father
tất,all
bao,bag
trên,on
tên,Name
lỗi,error
tại,in
thành,Fort
sau,after
cháu,grandchildren
ngày,day
khác,other
xem,see
theo,according to the
chắc,sure
gặp,meet
bắt,catch
yêu,to love
cứ,themselves
qua,by
vẫn,still
cùng,and
ngay,right
thích,prefer
cách,way
nhìn,look
sống,living
bọn,us
lúc,at
giết,kill
mới,new
quan,offices
chào,Hello
đưa,pass
lắm,very
gọi,call
hết,over
bảo,security
hai,two
rằng,that
ăn,eat
giúp,help
hiểu,understand
lấy,pick
ngài,sir
tự,self
lần,time
chính,primary
tay,hand
nhân,press
cuộc,the
bỏ,revoke
năm,year
mất,lost
hả,huh
vụ,service
xe,car
ngươi,thee
nhận,take
cha,dad
chúa,God
khỏi,from
nay,now on
định,No.
tiền,money
thời,time
cơ,agencies
nhé,Please
do,by
trở,return
bé,little
mặt,face
đường,Street
vâng,Yes
gái,girl
luôn,always
mấy,few
gia,Family
nhau,together
lời,word
nơi,place
chị,sister
xuống,down
bây,now
thưa,sir
số,number
động,moving
đồ,thing
ngoài,out
toàn,full
bất,Real
sát,close
thực,real
từng,ever
phòng,room
thằng,guy
kẻ,who
hàng,row
bằng,equal
chẳng,barely
chút,bit
nhớ,mind
chú,uncle
nhiên,course
lý,physical
chỗ,seat
học,learn
nhanh,fast
quay,rotary
sĩ,Doctorate
cố,try
tuyệt,great
lẽ,probably
chiến,fight
hỏi,ask
