Mandarin,English
"的
de","of
de"
"我
wǒ","I
wǒ"
"你
nǐ","you
nǐ"
"了
le","The
le"
"是
shì","Yes
shì"
"在
zài","in
zài"
"他
tā","he
tā"
"我们
wǒmen","we
wǒmen"
"不
bù","Do not
bù"
"吗
ma","It
ma"
"好
hǎo","it is good
hǎo"
"什么
shénme","what
shénme"
"有
yǒu","Have
yǒu"
"就
jiù","on
jiù"
"吧
ba","It
ba"
"她
tā","she was
tā"
"这
zhè","This
zhè"
"知道
zhīdào","know
zhīdào"
"说
shuō","Say
shuō"
"都
dōu","All
dōu"
"去
qù","go with
qù"
"很
hěn","very
hěn"
"啊
á","what
á"
"要
yào","want
yào"
"也
yě","and also
yě"
"他们
tāmen","they
tāmen"
"和
hè","with
hè"
"那
nà","that
nà"
"想
xiǎng","miss you
xiǎng"
"人
rén","people
rén"
"会
huì","meeting
huì"
"一个
yī gè","One
yī gè"
"来
lái","Come
lái"
"把
bǎ","The
bǎ"
"对
duì","Correct
duì"
"没有
méiyǒu","No
méiyǒu"
"做
zuò","do
zuò"
"不是
bùshì","No
bùshì"
"让
ràng","Let
ràng"
"给
gěi","give
gěi"
"you
you","you
you"
"可以
kěyǐ","can
kěyǐ"
"i
i","i
i"
"你们
nǐmen","you guys
nǐmen"
"呢
ne","It
ne"
"但
dàn","but
dàn"
"l
l","l
l"
"到
dào","To
dào"
"还
hái","also
hái"
"现在
xiànzài","right now
xiànzài"
"the
the","the
the"
"这个
zhège","This one
zhège"
"能
néng","can
néng"
"怎么
zěnme","how
zěnme"
"就是
jiùshì","It is
jiùshì"
"跟
gēn","with
gēn"
"如果
rúguǒ","in case
rúguǒ"
"没
méi","No
méi"
"它
tā","it
tā"
"走
zǒu","go
zǒu"
"上
shàng","on
shàng"
"得
dé","Get
dé"
"被
bèi","Is
bèi"
"这里
zhèlǐ","Here
zhèlǐ"
"这样
zhèyàng","such
zhèyàng"
"个
gè","More
gè"
"看
kàn","Look
kàn"
"事
shì","thing
shì"
"to
to","to
to"
"自己
zìjǐ","Own
zìjǐ"
"着
zhe","The
zhe"
"谁
shéi","Who
shéi"
"过
guo","Live
guo"
"不会
bùhuì","will not
bùhuì"
"a
a","a
a"
"告诉
gàosu","tell
gàosu"
"s
s","s
s"
"为什么
wèishénme","why
wèishénme"
"不能
bùnéng","Can not
bùnéng"
"真的
zhēn de","Really
zhēn de"
"m
m","m
m"
"先生
xiānsheng","Mr
xiānsheng"
"只是
zhǐshì","just
zhǐshì"
"不要
bùyào","Do not
bùyào"
"这是
zhè shì","this is
zhè shì"
"已经
yǐjīng","already
yǐjīng"
"再
zài","again
zài"
"哦
ò","Oh
ò"
"需要
xūyào","need
xūyào"
"it
it","it
it"
"因为
yīnwèi","because
yīnwèi"
