Tagalog,English
ang,the
sa,on
na,that
ng,of
mo,you
ko,my
hindi,not
ako,I
ka,you
at,and
mga,the
ay,be
lang,only
ba,is
ito,it
siya,she
kung,if
para,for
isang,a
si,si
ano,what
kayo,you
dito,here
alam,known
may,with
tayo,us
pero,but
lahat,all
pa,more
nga,indeed
gusto,want
oo,yes
ni,of
niya,she
wala,nothing
natin,our
naman,so
o,or
ngayon,now
kami,us
sige,go ahead
namin,we
sila,they
akong,I
kailangan,need
bakit,why
yan,yan
kaya,so
nyo,me
ikaw,you
anong,what
di,no
akin,mine
iyon,that
talaga,really
tao,person
kang,You
walang,nothing
sabihin,tell
mong,to
isa,one
kong,I
nang,when
sya,she
yun,yun
niyo,you
aking,my
dahil,because
nya,his
huwag,do not
nasa,on
yung,yung
iyo,yours
sino,who
nila,they
kita,earnings
diyos,deity
meron,there
sir,sir
sabi,say
buhay,life
okay,okay
saan,where
rin,also
salamat,thanks
wag,wag
bang,like
to,to
siyang,she
kahit,even though
umalis,leave
dapat,should
din,also
iyong,your
araw,day
siguro,maybe
po,sir
doon,there
eh,eh
wood,wood
iyan,that
nelson,nelson
paano,how
gawin,make
kay,with
kayong,you
noong,on
mundo,world
oh,oh
hoy,Hey
iba,other
kaibigan,friend
tama,right
tulad,like
pumunta,go
teka,Wait
nating,we
mr.,mr.
y,y
tapos,done
ibig,would
nakita,saw
kapag,when
ginagawa,making
kasi,because
taon,year
nasaan,where
maging,be
mula,from
tingnan,view
mas,more
puwede,might
max,max
pala,shovel
bago,before
sinabi,said
itong,it
gabi,night
nandito,here
ating,our
muna,first
tungkol,about
kaniya,his
reggie,reggie
sana,should
bahay,house
magandang,good
totoo,true
oras,time
ninyo,you
parang,supposedly
inyo,yours
buong,full
kanya,his
sinasabi,say
kasama,including
ha,ha
pangalan,name
ayaw,unwilling
lamang,only
anak,son
inyong,your
igik,grunt
bilis,speed
maganda,beautiful
tubig,water
nito,its
galing,from
baka,cow
rancho,rancho
pag,once
gagawin,do
bata,young
ibang,other
makita,see
ginawa,made
tayong,us
todd,todd
ayos,contour
maraming,more
yo,yo
season,season
marami,more
pang,more
halika,come here
bagay,thing
mukhang,looks
ah,ah
bagong,new
lugar,place
kaming,we
palabas,show
nangyayari,occurs
nangyari,happened
kanyang,his
panahon,time
sayo,you
rito,here
elliot,elliot
man,too
ngunit,but
talagang,really
pare,pastor
dalawa,two
sandali,moment
loob,inside
niyang,she
upang,to
patay,dead
magiging,will be
pwede,Possible
tingin,sight
trabaho,work
mahal,expensive
pulis,police
aming,our
problema,problem
kunin,take
diyan,there
silang,they
nakuha,obtained
papa,papa
naming,we
lalaki,man
taong,year
malaman,learn
patayin,kill
labas,outdoors
pupunta,going
sarili,own
mabuti,good
the,the
heto,here it is
party,party
amin,us
pumatay,kill
sorry,sorry
ama,father
cyril,cyril
magaling,good
kilala,know
nakikita,visible
raju,raju
hanggang,until
dvd,DVD
makikita,you
duke,duke
hey,ho
akala,thought
puso,heart
pia,pia
kaniyang,his
yeah,yeah
sumigaw,yell
busan,busan
habang,while
tulong,help
dalawang,two
zoobi,zoobi
detective,detective
kanila,theirs
doobi,doobi
uli,again
pakiusap,please
ilang,wilderness
bukas,tomorrow
puwedeng,can
kamay,hand
s,s
n,n
diba,diva
tulungan,help
makinig,listen
dumating,come
malaking,great
espada,swordfish
kamusta,How are you
babae,woman
pagkain,food
dati,previously
shishio,shishio
medyo,pretty
dahilan,reason
alis,departure
hari,king
malapit,close
kapatid,sibling
nung,when
kailangang,need
wow,wow
noon,then
tara,let's go
tumatawa,laughing
farhan,farhan
pagkatapos,then
aso,dog
naging,was
sakin,mine
j-cub,j-cub
makakuha,get
narinig,heard
hello,Hello
parati,eternally
susunod,Next
ngayong,now
dwarf,dwarf
i,i
pinto,door
bumalik,return
t,t
linggo,week
maaari,can
kelangan,need
masyadong,too
ganon,that
kasalanan,sin
hayaan,let's
bilisan,make fast
sasabihin,tell
mamatay,die
daan,way
uh,uh
atin,us
bilang,as
huli,late
gonna,gonna
umaga,morning
hayop,beast
tanga,fool
kanilang,their
you,you
takbo,trend
kumuha,take
paraan,way
takot,fear
sikat,popular
huling,last
ok,ok
show,show
gasps,gasps
maghintay,wait
beses,times
battosai,battosai
tatay,father
nakatira,resident
lupa,ground
bear,bear
syang,she
gustong,wants
yaon,that
maliit,small
nawala,gone
mayroon,have
huy,huy
minsan,sometime
dyan,dyan
lumabas,exit
winters,winters
miss,miss
merong,there
bawat,each
kyoto,kyoto
ganito,like this
katulad,like
kundi,save
mukha,face
malaki,great
tumahimik,shut up
tren,train
kotse,car
opo,yes
gamit,use
ivan,ivan
no,no
my,my
baby,baby
magsalita,speak
nakalimutan,forgotten
kaysa,than
matagal,long
yes,yes
of,of
tumingin,look
maaaring,can
sigurado,sure
pumasok,enter
ya,ya
hangin,wind
taas,height
masaya,happy
tawagan,call
ilalim,bottom
natatakot,fearful
magagawa,feasible
well,well
yang,yang
niyong,Please
me,me
asawa,husband
higit,more
dun,dun
su-an,su-an
naku,oh
barking,barking
lalaking,man
gumawa,make
namang,turn
sumama,join
nalaman,found
iniisip,thinking
j,j
nilang,they
kitang,to
bansa,country
bigyan,grant
car,car
virus,virus
gubat,woods
ulo,head
makuha,get
ramone,ramone
ranchhoddas,Ranchhoddas
cub,cub
pano,how
pasensiya,apologies
eksena,scenes
manatili,stay
maupo,seat
gumagawa,maker
naisip,thought
makina,machine
katie,katie
tweet,tweet
buksan,open
likod,back
parehong,both
a,wow
buwan,month
nandoon,there
minuto,minute
mamaya,later
tumigil,stop
makapaniwala,could
jeremy,jeremy
namatay,died
pagkakataon,time
liwanag,light
guys,guys
dumbo,Dumbo
kapwa,both
kausapin,talk
parating,bribe
ability,ability
kalokohan,prank
kumusta,hello
basta,just
ganyan,so
halos,almost
pareho,same
nanay,mother
wakas,end
ipakita,show
masama,bad
kamahalan,highness
