的,of
我,I
你,you
了,The
是,Yes
在,in
他,he
我们,we
不,Do not
吗,It
好,it is good
什么,what
有,Have
就,on
吧,It
她,she was
这,This
知道,know
说,Say
都,All
去,go with
很,very
啊,what
要,want
也,and also
他们,they
和,with
那,that
想,miss you
人,people
会,meeting
一个,One
来,Come
把,The
对,Correct
没有,No
做,do
不是,No
让,Let
给,give
you,you
可以,can
i,i
你们,you guys
呢,It
但,but
l,l
到,To
还,also
现在,right now
the,the
这个,This one
能,can
怎么,how
就是,It is
跟,with
如果,in case
没,No
它,it
走,go
上,on
得,Get
被,Is
这里,Here
这样,such
个,More
看,Look
事,thing
to,to
自己,Own
着,The
谁,Who
过,Live
不会,will not
a,a
告诉,tell
s,s
为什么,why
不能,Can not
真的,Really
m,m
先生,Mr
只是,just
不要,Do not
这是,this is
已经,already
再,again
哦,Oh
需要,need
it,it
因为,because
谢谢,Thank you
像,Like
这么,so
可能,may
但是,but
那个,That one
所以,and so
喜欢,like
又,also
叫,call
快,fast
我要,I need to
觉得,feel
别,do not
听,listen
找,Find
里,in
还有,and also
时候,time
东西,thing
等,Wait
死,dead
多,many
从,From
我会,I will
一起,together
and,and
应该,should
我們,we
这些,These ones
that,that
t,t
请,please
孩子,child
看到,see
一下,a bit
那么,Then
为,for
嗎,It
而,and
of,of
您,you
才,only
用,use
还是,still is
嗯,Ok
问题,problem
工作,jobs
一样,same
呀,Yeah
开始,Start
吃,eat
嘿,Hey
当,when
真,true
中,in
然后,then
看看,Look
說,Say
地方,local
一定,for sure
将,will
希望,hope
朋友,friend
今天,Nowadays
拿,take
一,One
啦,La
in,in
事情,thing
一直,Up
所有,all
we,we
找到,turn up
什麼,what
哪,where
当然,of course
们,They
回来,come back
不想,Do not want
更,more
最,most
帮,help
is,is
没事,All right
只,only
那些,Those ones
可,can
明白,understand
的话,if
爸爸,father
what,what
下,under
太,too
离开,go away
一切,all
时间,time
相信,Believe
chffffff,chffffff
妈妈,mom
想要,Want
爱,Love
发生,occur
打,hit
点,point
來,Come
钱,money
大,Big
起来,stand up
me,me
真是,Really
你好,Hello there
抱歉,Sorry
必须,have to
认为,think
一点,a little
非常,very much
那里,There
对不起,Sorry
天,day
也许,Maybe
大家,everyone
哪里,where
有人,Someone
该,That
意思,meaning
杀,kill
准备,ready
并,and
出来,come out
this,this
与,versus
时,Time
不过,but
一些,some
为了,in order to
带,band
女人,woman
he,he
pos,pos
这儿,here
后,Rear
只有,only
过来,come
比,ratio
一次,once
得到,get
и,и
很多,a lot of
on,on
任何,any
这种,This kind
for,for
小,small
怎么样,how about it
對,Correct
感觉,feel
年,year
是不是,is not it
以为,think
fn,fn
而且,and
my,my
your,your
前,before
生活,life
男人,the man
之前,prior to
喂,Hey
问,ask
发现,Find
噢,Oh
可是,but
快点,Faster
嗨,Hi
妈,mom
两个,Two
不用,No need to
re,re
地,Ground
向,to
名字,first name
have,have
没错,Yes
was,was
no,no
见,see
do,do
世界,world
沒,No
记得,remember
住,live
新,new
be,be
不错,Pretty good
肯定,sure
最好,the best
not,not
不行,Not work
等等,and many more
嘛,Well
出去,Out
么,What
先,first
為,for
亲爱,dear
或,or
can,can
are,are
don,don
他們,they
担心,worry
如何,how is it
到底,in the end
有点,A little
最后,At last
小姐,Young lady
上帝,God
认识,understanding
know,know
會,meeting
正在,Is
那样,That kind
父亲,father
高兴,happy
明天,tomorrow
重要,important
跑,run
警察,Policemen
只要,as long as
干什么,What
好像,like
再见,Goodbye
月,month
我能,I can
继续,carry on
出,Out
今晚,tonight
all,all
他妈的,Fuck
with,with
回家,Come back home
它们,they
多少,How many
电话,phone
听到,Hear
干嘛,Why
just,just
干,dry
but,but
医生,Doctors
要是,if
女孩,girl
so,so
這,This
所,The
讓,Let
马上,immediately
过去,past
以前,before
they,they
儿子,son
哪儿,where
说话,speak
买,buy
看起来,Looks
fnmicrosoft,fnmicrosoft
一個,One
yahei,yahei
完全,complete
该死,Damn
there,there
美国,United States
怎样,how
回去,go back
以,With
却,but
其他,other
永远,forever and always
家伙,Guy
之后,after that
怎麼,how
看见,see
或者,or
b,b
小心,Be careful
fnsimhei,fnsimhei
行,Row
别人,other people
成为,become
写,write
不到,Less than
here,here
情况,Happening
get,get
送,give away
伙计,Man
一天,one day
玩,play
见到,To see
放,put
晚上,at night
喝,drink
总是,always
好好,Good
琌,Ling
号,number
如此,in this way
家,Home
坐,sit
了解,To understanding
like,like
有没有,Do you have
兄弟,brothers
没什么,It's nothing
我来,I come
结束,End
机会,opportunity
已,Already
安全,Safety
拜托,Please
决定,Decide
穿,wear
确定,determine
里面,inside
呃,Uh
怎么办,How to do
还好,"Fortunately,"
无法,Unable
小时,hour
站,station
清楚,clear
有些,some
错,wrong
這個,This one
帮助,help
长官,Chief
out,out
ll,ll
公司,the company
up,up
打电话,Phone
房子,house
根本,fundamental
懂,understand
办法,Method
go,go
不管,Regardless of
混蛋,Asshole
关于,on
right,right
she,she
搞,Do
计划,plan
唯一,only
来说,Speaking
女儿,daughter
one,one
看着,Watching
宝贝,baby
每个,Each
about,about
怎么回事,what happened
個,More
其实,in fact
漂亮,Pretty
黑体,Blackbody
這樣,such
车,car
if,if
人们,people
真正,real
甚至,even
那边,there
弄,do
开,open
不好,not good
him,him
喔,Oh
回,Return
进来,Come in
裏,in
夫人,lady
之,It
at,at
ぃ,ぃ
愿意,willing
麻烦,trouble
now,now
睡,sleep
哇,Wow
就要,Will
打算,intend
完,Finish
故事,story
一种,One kind
害怕,Afraid
救,save
手,hand
房间,room
由,by
後,Rear
那儿,there
