Kazakh,English
мен,and
ол,it
жоқ,no
сен,you
не,what
бұл,This
керек,must
оны,it
ба,whether
ма,whether
жақсы,Good
менің,my
иә,Yes
маған,me
бар,have
бе,whether
деп,that
емес,not
оның,his
сіз,you
біз,we
ал,but
мені,me
де,too
ғой,is
жатыр,uterus
енді,now
үшін,for
олар,they
сенің,your
бір,one
да,too
бірақ,but
қайда,where
саған,to you
сені,you
неге,why
адам,man
осында,here
болады,will be
келеді,I want to
доктор,doctor
оған,him
хаку,Haq
николас,Nicholas
мына,these
болды,was
тек,only
бәрі,everybody
рахмет,thanks
дұрыс,right
сол,that
мүмкін,possible
және,and
тағы,else
жұмыс,work
еді,would
басқа,other
ме,whether
болып,is
егер,if
осы,This
біздің,our
мында,here
солай,so
едім,I would
өтінемін,please
міне,there
президент,president
малдер,Mulder
екен,was
сіздің,your
кетті,Expired
тұр,get up
кәзір,now
болған,was
өте,very
ештеңе,nothing
кім,who
сияқты,kind of
болса,If
қалай,how
білмеймін,I do not know
скалли,Scully
шығар,probably
бізге,U.S
кешіріңіз,I am sorry
джо,Joe
жарайды,OK
алып,giant
әлі,yet
сэн,Sen
сізді,you
пе,whether
сізге,you
ғана,only
жерде,here
ше,What about
бәрін,all
кеттік,let's go
бола,be
сәлем,Hello
жүр,is
шын,real
уганда,Uganda
жерден,from
адамдар,people
туралы,about
жерге,ground
сонда,there
қалды,remained
келді,came
мырза,Sir
тірі,alive
деген,that
болар,have been
білемін,I know
онда,then
әкей,Father
жаңа,new
қой,sheep
әй,hey
қайырлы,good
тихиро,tïxïro
меніңше,it seems
а,a
фбр,FBI
бірге,with
қан,blood
қатты,It is tough
тым,too
себебі,because
таң,morning
екенін,that
кел,Come
келген,any
тауып,found
өз,its
дейді,says
көріп,see
бер,give
тіпті,even
оларды,them
алмаймын,I can not
осылай,so
олай,so
гариган,Gary
білесің,you know
бірдеңе,something
қол,sign
амин,amino
одан,more
бері,since the
жатырмын,I'm
әке,father
қайта,again
мынау,this
ең,most
келе,coming
у,y
қандай,What
апа,grandmother
сондай,such
көп,lot
қажет,necessary
мұнда,here
нәрсе,thing
тұрмын,I have
үлкен,large
әрине,certainly
кешірім,forgiveness
ешкім,nobody
бізді,U.S
па,whether
бүгін,today
қарашы,Look at
іздеп,Looking for
тиіс,should
уәде,promise
сендер,you
менде,me too
қарай,to
дене,body
соң,after the
кейін,after
тез,quickly
юбаба,yubaba
тарт,Pull
біреу,somebody
болмайды,Do not
ана,mother
тыныш,silent
өзім,I
құдай,God
тұрсың,do you
дәл,exactly
жағдай,situation
ойлап,come up with
екі,two
болмаса,If you do not
айтты,said
келдім,I came to
артқа,back
қуаныштымын,I am happy
қарсы,versus
арнайы,special
былай,said
шынымен,really
қиын,difficult
түс,Color
келіп,to come
бол,Be
тоқта,stop
қайдан,Where
барлық,everything
үш,three
комази,komazï
жүріңдер,Walk
ақ,white
әйел,woman
өзің,you
барып,go to
алтын,gold
өтінем,please
өмір,life
көмек,help
отыр,sit down
болу,stay
кәне,come on
қонақ,guest
кішкене,small
әдемі,beautiful
алмай,can not
келмейді,I do not want
әлде,or
керемет,miracle
адамдары,The men
деймін,I want to
жеп,eat
бойы,for
сэр,Sir
дегенмен,however
өзі,self
кей,some
боп,as
шығып,out
табылған,found
тезірек,rather
әрі,and
біраз,somewhat
оларға,them
барлығын,all
бұны,it
бара,going
бұның,it
сенімен,with you
аласың,can
ой,thought
айтып,tell
дем,breathe
алған,received
қош,Welcome
бала,child
күтіп,waiting for
едік,would
ауырып,ill
керегі,need
неткен,What a
бос,free
әшейін,just
қарап,Look at the
аха,aha
маңызды,important
қанша,how many
сізбен,you
айтарым,I have to say
алайда,However
өзен,river
сайтан,devil
қызық,interesting
әкем,father
жоғалып,disappeared
секілді,such as
кетіп,leave
сізде,you
