、,","
。,.
何,what
あ,Ah
あなた,you
言,Saying
行,line
人,Man
知,Knowledge
）,)
（,(
事,Thing
彼女,Girlfriend
お前,you
話,Talk
来,Come
分か,Divided
者,Person
聞,Listen
死,death
時,Time
ああ,Oh
殺,Killing
前,Before
中,During ~
達,Reaches
必要,necessary
あの,that
気,Care
大丈夫,Fine
」,""""
「,""""
自分,myself
持,Equity
本当,For real
時間,time
我々,we
一,one
的,Target
無,Nothing
ありがとう,Thank you
家,House
会,Meeting
日,Day
年,Year
仕事,jobs
手,hand
一緒,together
後,rear
出来,Can
他,other
入,Input
電話,phone
目,Eye
様,Mr
分,Minute
車,car
所,Place
あんた,Anta
度,Every time
同じ,the same
場所,place
問題,problem
子供,children
愛,Love
金,Money
名前,name
子,Child
信,Trust
さあ,here we go
少し,a little
使,Use
全て,all
世界,world
教え,Teachings
通り,Street
来る,come
上,Up
入れ,Get in
人間,Human beings
行け,go
今日,today
物,Stuff
女,woman
呼,Call
生き,Live
あれ,that
じゃあ,Well then
止め,Stop
心配,worry
母,mother
連れ,Take
関係,Relation
外,Outside
家族,family
起き,Happened
意味,meaning
神,God
警察,police
力,Power
最後,last
作,Work
次,Next
息子,son
取,Preparative
全部,Whole
間,while
書,book
捜査,investigation
起こ,Oko
回,Times
別,Different
情報,information
理由,Reason
数,number
一人,One person
部屋,room
以上,that's all
人生,life
急,Sudden
食べ,eat
女性,Female
続け,continue
事件,Incident
始め,start
最初,the first
連絡,Communication
まあ,Oh dear
調べ,Examined
安全,safety
下さ,Please
楽し,Fun
殺人,murder
下,under
万,Ten thousand
友達,friend
約束,Promise
二,two
結婚,marriage
無理,Unreasonable
感じ,Feeling
得,Obtained
最高,Highest
送,Feed
計画,plan
仲間,Friend
先,Previous
可能,Possible
あいつ,that person
あと,after
明日,tomorrow
変わ,River
聞こえ,Hear
確認,Verification
命,life
着,Wearing
与え,Giving
全員,All members
動,Motion
理解,Understanding
二人,Two persons
開け,open
友人,friend
機,Machine
不,Not
あげ,Up
離れ,Apart
戦,War
先生,teacher
言え,say
質問,Question
置,Location
犯人,Criminal
受け,received
感,Feeling
第,The
あぁ,Ahh
伝え,Tell
